년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,10,25,3,0,13.5,9.3,17.2,1.8,56.6,8.8,7.22,47061
2006,10,26,4,0,15,12.1,18.8,1.7,63.1,10.8,6.03,48070
2006,10,27,5,0,13.6,10.3,17.8,2,63.5,9.9,13.4,47333
2006,10,28,6,1,14.7,9.5,19.5,2,71.3,12,9.77,43887
2006,10,29,7,1,15.3,11.8,19.5,1.5,57.3,9.9,10.03,41357
2006,10,30,1,0,13.9,7.9,19.8,1.6,48.9,7.6,13.35,47464
2006,10,31,2,0,14.8,10.1,19.7,1.6,65.9,11.2,9.57,47644
2006,11,1,3,0,15.6,12.6,19.8,1.9,72,12.8,8.16,47214
2006,11,2,4,0,14.5,11.8,18.3,2.1,61.8,10.1,11.51,48139
2006,11,3,5,0,14.8,9.6,20.2,2,71.6,12.2,9.15,47795
2006,11,4,6,1,16,12.1,19.3,2,69.1,12.5,6.42,44213
2006,11,5,7,1,13.3,8.3,17.7,3.5,53.9,8.8,12.12,42362
2006,11,6,1,0,4.6,-0.1,8.8,2.2,75.3,6.5,3.42,49437
2006,11,7,2,0,3.5,-1.3,8.1,2.8,56.8,4.6,12.1,50350
2006,11,8,3,0,13,5.5,17.1,4.1,71.1,11.1,5.08,48980
2006,11,9,4,0,13.8,8.6,17.2,3.7,44.5,7.6,10.38,49078
2006,11,10,5,0,8.4,5.1,12.6,1.6,27.4,3,6.52,49224
2006,11,11,6,1,5.3,2,9.3,3.1,41.5,3.6,12.53,46329
2006,11,12,7,1,5.8,0.6,11.3,1.7,41.8,3.8,11.93,44066
2006,11,13,1,0,9.1,4.5,13.6,2.3,71,8.6,2.9,49900
2006,11,14,2,0,5.6,2.5,8.6,3.1,43.3,4,11.75,50868
2006,11,15,3,0,5.6,1.8,10.5,2.9,64.1,6,7.34,50744
2006,11,16,4,0,3.4,-0.4,7,1.9,41.1,3.2,10.82,51631
2006,11,17,5,0,5.5,0.5,10.1,1.5,50.3,4.6,9.15,51059
2006,11,18,6,1,7.2,2.5,13.1,1.7,54.8,5.4,9.06,47631
2006,11,19,7,1,8.8,3.5,13.6,1.6,55.3,6.3,6.44,44580
2006,11,20,1,0,8.6,4.6,13.1,1.6,58.8,6.5,9.94,50554
2006,11,21,2,0,8.4,5.4,11.1,1.9,73.4,8.3,1.71,50757
2006,11,22,3,0,7.1,5,10.1,2.2,43.3,4.4,6.56,51111
2006,11,23,4,0,7.9,6,11.3,4.2,52.8,5.7,8.18,51242
